product	surface_type	scope	path
aider	instructions	project	CONVENTIONS.md
aider	instructions	user	~/.aider.conf.yml
amazon-q	instructions	project	.amazonq/rules
amazon-q	mcp	user	~/.aws/amazonq/default.json
amazon-q	mcp	project	.amazonq/default.json
android-studio	skills	user	~/.agents/skills
android-studio	skills	project	.agents/skills
android-studio	instructions	project	AGENTS.md
antigravity	skills	user	~/.gemini/config/skills
antigravity	skills	project	.agents/skills
antigravity	instructions	project	.agents/rules
antigravity	mcp	user	~/.gemini/config/mcp_config.json
antigravity	mcp	project	.agents/mcp_config.json
augment-code	skills	user	~/.augment/skills
augment-code	skills	project	.augment/skills
augment-code	instructions	project	.augment/rules
augment-code	mcp	user	~/.augment/settings.json
augment-code	mcp	project	.augment/settings.json
augment-code	instructions	project	.augment/settings.json
augment-code	instructions	user	~/.augment/settings.json
baidu-comate	skills	user	~/.comate/skills
baidu-comate	skills	project	.comate/skills
baidu-comate	mcp	user	~/.comate/mcp.json
baidu-comate	mcp	project	.comate/mcp.json
blackbox	skills	project	.blackbox/skills
claude	skills	user	~/.claude/skills
claude	skills	project	.claude/skills
claude	instructions	project	CLAUDE.md
claude	mcp	user	~/.claude.json
claude	mcp	project	.mcp.json
claude	instructions	project	.claude/settings.json
claude	instructions	user	~/.claude/settings.json
claude-desktop	mcp	user	{'darwin': '~/Library/Application Support/Claude/claude_desktop_config.json', 'linux': '', 'windows': '%APPDATA%\\Claude\\claude_desktop_config.json'}
cline	skills	user	~/.cline/skills
cline	skills	project	.cline/skills
cline	instructions	project	.cline/rules
cline	mcp	user	~/.cline/data/settings/cline_mcp_settings.json
cline	mcp	project	.cline/mcp.json
codely	skills	user	~/.codely-cli/skills
codely	skills	project	.codely-cli/skills
codely	instructions	project	CODELY.md
codely	mcp	user	~/.codely-cli/settings.json
codely	mcp	project	.codely-cli/settings.json
codely	instructions	project	.codely-cli/settings.json
codely	instructions	user	~/.codely-cli/settings.json
codex	skills	user	~/.agents/skills
codex	skills	project	.agents/skills
codex	instructions	project	AGENTS.md
codex	mcp	user	~/.codex/config.toml
codex	mcp	project	.codex/config.toml
codex	instructions	project	.codex/config.toml
codex	instructions	user	~/.codex/config.toml
continue	instructions	project	.continue/rules
continue	mcp	user	~/.continue/config.yaml
continue	mcp	project	.continue/mcpServers
continue	instructions	user	~/.continue/config.yaml
copilot	skills	user	~/.copilot/skills
copilot	skills	project	.github/skills
copilot	instructions	project	.github/copilot-instructions.md
copilot	mcp	user	~/.copilot/mcp-config.json
copilot	mcp	project	.mcp.json
cursor	skills	user	~/.cursor/skills
cursor	skills	project	.cursor/skills
cursor	instructions	project	.cursor/rules
cursor	mcp	user	~/.cursor/mcp.json
cursor	mcp	project	.cursor/mcp.json
firebase-studio	instructions	project	.idx/airules.md
firebase-studio	mcp	project	.idx/mcp.json
gemini-cli	skills	user	~/.gemini/skills
gemini-cli	skills	project	.gemini/skills
gemini-cli	instructions	project	GEMINI.md
gemini-cli	mcp	user	~/.gemini/settings.json
gemini-cli	mcp	project	.gemini/settings.json
gemini-cli	instructions	project	.gemini/settings.json
gemini-cli	instructions	user	~/.gemini/settings.json
goose-cli	skills	user	~/.agents/skills
goose-cli	skills	project	.agents/skills
goose-cli	instructions	project	.goosehints
goose-cli	mcp	user	~/.config/goose/config.yaml
goose-cli	instructions	user	~/.config/goose/config.yaml
jetbrains	skills	user	~/.junie/skills
jetbrains	skills	project	.junie/skills
jetbrains	instructions	project	.junie/AGENTS.md
jetbrains	mcp	user	~/.junie/mcp/mcp.json
jetbrains	mcp	project	.junie/mcp/mcp.json
jetbrains-ai	skills	project	.agents/skills
kilocode	skills	user	~/.kilo/skills
kilocode	skills	project	.kilo/skills
kilocode	instructions	project	AGENTS.md
kilocode	mcp	user	~/.config/kilo/kilo.jsonc
kilocode	mcp	project	.kilo/kilo.jsonc
kilocode	instructions	project	.kilo/kilo.jsonc
kilocode	instructions	user	~/.config/kilo/kilo.jsonc
kimiai	skills	user	~/.kimi-code/skills
kimiai	skills	project	.kimi-code/skills
kimiai	instructions	project	AGENTS.md
kimiai	mcp	user	~/.kimi-code/mcp.json
kimiai	mcp	project	.kimi-code/mcp.json
kimiai	instructions	user	~/.kimi-code/config.toml
kiro	skills	user	~/.kiro/skills
kiro	skills	project	.kiro/skills
kiro	instructions	project	.kiro/steering
kiro	mcp	user	~/.kiro/settings/mcp.json
kiro	mcp	project	.kiro/settings/mcp.json
neovim	instructions	user	~/.config/nvim/init.lua
openclaw	skills	user	~/.openclaw/skills
openclaw	skills	project	skills
openclaw	instructions	project	AGENTS.md
openclaw	mcp	user	~/.openclaw/openclaw.json
openclaw	instructions	user	~/.openclaw/openclaw.json
opencode	skills	user	~/.config/opencode/skills
opencode	skills	project	.opencode/skills
opencode	instructions	project	AGENTS.md
opencode	mcp	user	~/.config/opencode/opencode.json
opencode	mcp	project	opencode.json
opencode	instructions	project	opencode.json
opencode	instructions	user	~/.config/opencode/opencode.json
replit	skills	project	.agents/skills
replit	instructions	project	replit.md
replit	instructions	project	.replit
roo-code	skills	user	~/.roo/skills
roo-code	skills	project	.roo/skills
roo-code	instructions	project	.roorules
roo-code	mcp	project	.roo/mcp.json
tabnine	instructions	project	.tabnine/guidelines
tabnine	mcp	user	~/.tabnine/mcp_servers.json
tabnine	mcp	project	.tabnine/mcp_servers.json
tencent-codebuddy	skills	user	~/.codebuddy/skills
tencent-codebuddy	skills	project	.codebuddy/skills
tencent-codebuddy	instructions	project	CODEBUDDY.md
tencent-codebuddy	mcp	user	~/.codebuddy/.mcp.json
tencent-codebuddy	mcp	project	.mcp.json
tencent-codebuddy	instructions	project	.codebuddy/settings.json
tencent-codebuddy	instructions	user	~/.codebuddy/settings.json
trae	skills	user	~/.trae/skills
trae	skills	project	.trae/skills
